date,原因,道路番号,発生時刻,ピーク時刻,ピーク長,発生Ｋｐ,発生時渋滞長,渋滞時間
2025-05-06,交通集中,関越道,12:50:00,13:25:00,7.0,53.3,0.0,45
2025-05-06,交通集中,関越道,14:45:00,14:55:00,7.4,57.0,0.0,25
2025-05-06,交通集中,関越道,15:30:00,15:45:00,12.0,60.3,10.2,50
2025-05-06,交通集中,関越道,13:50:00,14:15:00,4.1,62.3,0.0,35
2025-05-06,交通集中,関越道,15:10:00,15:10:00,8.2,62.3,8.2,20
2025-05-06,交通集中,関越道,16:20:00,16:20:00,2.1,62.3,2.1,20
2025-05-06,交通集中,関越道,11:40:00,11:55:00,13.4,66.4,12.2,60
2025-05-06,交通集中,関越道,14:40:00,14:55:00,4.1,66.4,0.0,25
2025-05-06,交通集中,関越道,11:00:00,11:20:00,5.9,68.3,2.2,40
2025-05-06,交通集中,関越道,12:40:00,12:40:00,5.9,68.3,5.9,60
2025-05-06,交通集中,関越道,13:15:00,13:15:00,3.1,75.5,3.1,35
2025-05-06,交通集中,関越道,14:30:00,14:30:00,3.1,75.5,3.1,35
2025-05-06,交通集中,関越道,10:40:00,11:10:00,3.2,76.6,2.0,60
2025-05-06,交通集中,関越道,12:45:00,12:45:00,2.0,76.6,2.0,30
2025-05-06,交通集中,関越道,13:50:00,13:50:00,2.0,76.6,2.0,15
2025-05-01,交通集中,関越道,10:00:00,10:00:00,1.0,4.2,1.0,40
2025-05-01,交通集中,関越道,11:20:00,11:20:00,1.0,4.2,1.0,35
2025-05-02,交通集中,関越道,16:45:00,16:45:00,1.0,4.2,1.0,15
2025-05-02,交通集中,関越道,19:30:00,21:20:00,3.0,4.2,0.0,145
2025-05-02,交通集中,関越道,21:10:00,21:30:00,6.3,29.2,0.0,25
2025-05-02,交通集中,関越道,20:55:00,20:55:00,3.8,29.6,3.8,15
2025-05-02,交通集中,関越道,23:25:00,23:25:00,2.8,30.8,2.8,20
2025-05-02,交通集中,関越道,21:05:00,21:05:00,3.3,34.1,3.3,20
2025-05-02,交通集中,関越道,21:15:00,21:45:00,20.3,39.4,0.0,170
2025-05-02,交通集中,関越道,23:35:00,23:40:00,6.0,56.1,0.0,35
2025-05-02,交通集中,関越道,21:55:00,21:55:00,3.4,78.6,3.4,45
2025-05-02,交通集中,関越道,22:55:00,22:55:00,3.4,78.6,3.4,140
2025-05-03,交通集中,関越道,05:10:00,05:10:00,1.0,4.2,1.0,15
2025-05-03,交通集中,関越道,04:40:00,04:55:00,4.4,32.4,0.0,20
2025-05-03,交通集中,関越道,08:40:00,08:40:00,22.8,34.1,22.8,405
2025-05-03,交通集中,関越道,04:55:00,04:55:00,2.0,52.1,2.0,15
2025-05-03,交通集中,関越道,07:55:00,08:15:00,7.6,52.1,0.0,30
2025-05-03,交通集中,関越道,11:00:00,11:00:00,14.3,52.1,14.3,15
2025-05-03,交通集中,関越道,12:20:00,12:20:00,3.7,52.1,3.7,45
2025-05-03,交通集中,関越道,08:25:00,08:35:00,42.9,54.2,0.0,155
2025-05-03,交通集中,関越道,06:20:00,11:15:00,38.1,78.6,0.0,395
2025-05-03,交通集中,関越道,14:45:00,16:40:00,10.8,78.6,0.0,145
2025-05-03,交通集中,関越道,08:55:00,09:10:00,4.1,93.8,0.0,200
2025-05-04,交通集中,関越道,06:05:00,06:05:00,1.0,4.2,1.0,15
2025-05-04,交通集中,関越道,06:30:00,06:30:00,8.1,11.3,8.1,20
2025-05-04,交通集中,関越道,06:55:00,06:55:00,10.3,13.5,10.3,40
2025-05-04,交通集中,関越道,06:15:00,07:35:00,29.9,34.1,0.0,465
2025-05-04,交通集中,関越道,09:05:00,09:05:00,2.0,42.5,2.0,20
2025-05-04,交通集中,関越道,10:10:00,10:35:00,5.5,99.3,0.0,55
2025-05-05,交通集中,関越道,07:50:00,07:50:00,1.0,4.2,1.0,60
2025-05-05,交通集中,関越道,08:55:00,08:55:00,17.9,29.2,17.9,15
2025-05-05,交通集中,関越道,08:35:00,08:35:00,16.1,29.6,16.1,20
2025-05-05,交通集中,関越道,07:20:00,08:30:00,17.3,30.8,0.0,75
2025-05-05,交通集中,関越道,08:40:00,09:25:00,24.7,34.1,0.0,265
2025-05-07,交通集中,関越道,06:15:00,06:15:00,1.2,0.0,1.2,15
2025-05-09,交通集中,関越道,16:40:00,16:40:00,1.2,0.0,1.2,20
2025-05-11,交通集中,関越道,15:45:00,16:15:00,3.1,0.0,0.0,195
2025-05-11,交通集中,関越道,15:30:00,15:45:00,5.2,4.2,0.0,40
2025-05-11,交通集中,関越道,19:30:00,19:30:00,1.4,4.2,1.4,15
2025-05-11,交通集中,関越道,16:05:00,17:35:00,28.3,21.2,0.0,200
2025-05-11,交通集中,関越道,18:35:00,18:35:00,7.9,29.6,7.9,40
2025-05-11,交通集中,関越道,15:25:00,17:05:00,16.5,33.0,0.0,115
2025-05-11,交通集中,関越道,14:55:00,15:10:00,6.0,37.5,0.0,35
2025-05-11,交通集中,関越道,14:35:00,14:35:00,1.9,55.1,1.9,15
2025-05-11,交通集中,関越道,17:35:00,17:35:00,1.9,55.1,1.9,15
2025-05-11,交通集中,関越道,14:40:00,16:00:00,7.2,68.3,0.0,170
2025-05-12,交通集中,関越道,06:10:00,06:10:00,1.2,0.0,1.2,135
2025-05-16,交通集中,関越道,06:20:00,06:20:00,1.2,0.0,1.2,15
2025-05-16,交通集中,関越道,16:35:00,16:35:00,1.2,0.0,1.2,65
2025-05-18,交通集中,関越道,15:50:00,17:55:00,3.1,0.0,0.0,205
2025-05-18,交通集中,関越道,17:30:00,17:40:00,4.0,13.4,2.0,15
2025-05-18,交通集中,関越道,18:20:00,18:20:00,2.0,13.4,2.0,25
2025-05-18,交通集中,関越道,17:15:00,17:45:00,32.1,21.2,0.0,165
2025-05-18,交通集中,関越道,16:20:00,17:10:00,5.5,25.9,2.1,55
2025-05-19,交通集中,関越道,06:15:00,06:15:00,1.2,0.0,1.2,80
2025-05-20,交通集中,関越道,06:25:00,06:25:00,1.2,0.0,1.2,95
2025-05-23,交通集中,関越道,07:00:00,08:05:00,3.1,0.0,0.0,70
2025-05-23,交通集中,関越道,15:35:00,15:45:00,2.9,4.2,0.0,65
2025-05-23,交通集中,関越道,16:35:00,16:35:00,1.2,28.0,1.2,15
2025-05-23,交通集中,関越道,18:30:00,18:30:00,1.2,28.0,1.2,20
2025-05-23,交通集中,関越道,17:05:00,17:10:00,4.5,33.0,0.0,80
2025-05-24,交通集中,関越道,16:55:00,17:55:00,3.1,0.0,0.0,125
2025-05-24,交通集中,関越道,17:35:00,17:35:00,3.1,33.0,3.1,30
2025-05-25,交通集中,関越道,15:20:00,15:20:00,1.2,0.0,1.2,95
2025-05-25,交通集中,関越道,16:15:00,16:45:00,6.8,21.2,0.0,60
2025-05-03,交通集中,関越道,19:30:00,19:30:00,1.6,33.0,1.6,45
2025-05-26,交通集中,関越道,06:10:00,06:10:00,1.2,0.0,1.2,80
2025-05-26,交通集中,関越道,17:30:00,17:30:00,1.4,4.2,1.4,15
